message_type,flight_id,hex_id,yyyymmdd,hhmmss,latitude,longitude,altitude,ground_speed,unknown1,unknown2
3,AAL1068 ,ACCE3F,20130713,234702,28.08673,-82.15571,36125,423,153,-512,,
3,AAL1068 ,ACCE3F,20130713,234704,28.08481,-82.15460,36100,423,153,-512,,
4,428     ,A849AB,20130713,234704,29.41450,-81.16608,23050,476,0,1216,,
3,428     ,A849AB,20130713,234704,29.42139,-81.16618,23100,476,0,1216,,
3,SCX342  ,AB1628,20130713,234704,29.55286,-81.72455,28275,477,348,1024,2645,
4,SCX342  ,AB1628,20130713,234704,29.55286,-81.72455,28275,477,348,1088,2645,
1,428     ,A849AB,20130713,234704,29.42139,-81.16618,23100,476,0,1216,,
4,SCX342  ,AB1628,20130713,234705,29.55286,-81.72455,28275,478,348,1152,2645,
3,NKS388  ,A7E62D,20130713,234705,27.85672,-82.06333,34950,433,150,64,,
4,428     ,A849AB,20130713,234706,29.42139,-81.16618,23100,476,0,1088,,
3,428     ,A849AB,20130713,234706,29.42609,-81.16624,23125,476,0,1088,,
3,428     ,A849AB,20130713,234707,29.42814,-81.16624,23150,476,0,1088,,
4,SCX342  ,AB1628,20130713,234707,29.55286,-81.72455,28275,478,348,1344,2645,
3,AAL1068 ,ACCE3F,20130713,234708,28.07756,-82.15059,36075,423,153,-512,,
4,AAL1068 ,ACCE3F,20130713,234709,28.07756,-82.15059,36075,424,153,-384,,
3,AAL1068 ,ACCE3F,20130713,234709,28.07510,-82.14925,36075,424,153,-384,,
3,NKS388  ,A7E62D,20130713,234710,27.84829,-82.05794,34950,433,150,64,,
3,AAL1068 ,ACCE3F,20130713,234711,28.07245,-82.14779,36075,424,153,-384,,
4,AAL1068 ,ACCE3F,20130713,234711,28.07245,-82.14779,36075,424,153,-384,,
4,AAL1068 ,ACCE3F,20130713,234711,28.07245,-82.14779,36075,424,153,-384,,
4,AAL1068 ,ACCE3F,20130713,234712,28.07245,-82.14779,36075,424,153,-384,,
4,AAL1068 ,ACCE3F,20130713,234712,28.07245,-82.14779,36075,424,153,-384,,
1,SCX342  ,AB1628,20130713,234712,29.55286,-81.72455,28275,478,348,1344,2645,
3,SCX342  ,AB1628,20130713,234712,29.57016,-81.72893,28425,478,348,1344,2645,
3,428     ,A849AB,20130713,234715,29.44560,-81.16641,23300,476,0,1088,,
3,428     ,A849AB,20130713,234716,29.44771,-81.16646,23325,476,0,1088,,
4,SCX342  ,AB1628,20130713,234716,29.57016,-81.72893,28425,479,348,1280,2645,
4,428     ,A849AB,20130713,234716,29.44771,-81.16646,23325,477,0,1088,,
3,SCX342  ,AB1628,20130713,234717,29.57990,-81.73144,28525,479,348,1280,2645,
4,SCX342  ,AB1628,20130713,234717,29.57990,-81.73144,28525,479,348,1280,2645,
4,428     ,A849AB,20130713,234717,29.44771,-81.16646,23325,477,0,1088,,
4,428     ,A849AB,20130713,234718,29.44771,-81.16646,23325,477,0,1152,,
3,SCX342  ,AB1628,20130713,234720,29.58641,-81.73306,28600,479,348,1280,2645,
3,428     ,A849AB,20130713,234720,29.45659,-81.16657,23400,477,0,1152,,
4,428     ,A849AB,20130713,234720,29.45659,-81.16657,23400,478,0,1088,,
3,428     ,A849AB,20130713,234721,29.45877,-81.16656,23425,478,0,1088,,
4,428     ,A849AB,20130713,234721,29.45877,-81.16656,23425,478,0,1152,,
3,SCX342  ,AB1628,20130713,234722,29.59074,-81.73419,28625,479,348,1280,2645,
4,428     ,A849AB,20130713,234722,29.45877,-81.16656,23425,478,0,1152,,
3,SCX342  ,AB1628,20130713,234722,29.59251,-81.73462,28650,479,348,1280,2645,
4,428     ,A849AB,20130713,234723,29.45877,-81.16656,23425,478,0,832,,
4,SCX342  ,AB1628,20130713,234724,29.59251,-81.73462,28650,480,348,1280,2645,
3,428     ,A849AB,20130713,234724,29.46574,-81.16668,23475,478,0,832,,
4,428     ,A849AB,20130713,234724,29.46574,-81.16668,23475,478,0,1024,,
3,428     ,A849AB,20130713,234725,29.46785,-81.16667,23500,478,0,1024,,
3,SCX342  ,AB1628,20130713,234727,29.60164,-81.73693,28750,480,348,1280,2645,
3,428     ,A849AB,20130713,234727,29.47222,-81.16672,23525,478,0,1024,,
4,SCX342  ,AB1628,20130713,234728,29.60164,-81.73693,28750,481,348,1344,2645,
3,SCX342  ,AB1628,20130713,234730,29.60815,-81.73860,28800,481,348,1344,2645,
3,428     ,A849AB,20130713,234730,29.47869,-81.16678,23575,478,0,1024,,
3,428     ,A849AB,20130713,234731,29.48126,-81.16683,23600,478,0,1024,,
3,SCX342  ,AB1628,20130713,234732,29.61248,-81.73968,28850,481,348,1344,2645,
4,SCX342  ,AB1628,20130713,234734,29.61248,-81.73968,28850,481,348,1216,2645,
3,428     ,A849AB,20130713,234734,29.48749,-81.16689,23650,478,0,1024,,
4,428     ,A849AB,20130713,234735,29.48749,-81.16689,23650,480,0,704,,
1,AAL1068 ,ACCE3F,20130713,234735,28.07245,-82.14779,36075,424,153,-384,,
3,SCX342  ,AB1628,20130713,234736,29.62102,-81.74182,28925,481,348,1216,2645,
4,SCX342  ,AB1628,20130713,234736,29.62102,-81.74182,28925,482,348,1216,2645,
